T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.1227397027730116,0.9697810780459771,-0.5335193308384119,-2.6228289136755527,134.35682996232325
0.5,0.05964648777815982,0.9706170808874516,-0.17470690508768552,-0.46830694718605,29.97259143485559
1,0.03465831911790546,0.9659354015395694,0.15858855555786477,0.12383851956975986,-4.688242388882491
2,0.03471833415821425,0.9329192148581849,0.06587640199992584,0.01556156901503028,-1.6167616878823288
3,0.03452592835946517,0.9016058885294721,0.07457581114408973,0.013340828034707347,-0.24758076653391692
5,0.03572549153159189,0.8364174422748443,0.01390834451567291,-0.004365287428195058,-0.0019538226800341896
7,0.03759412327025357,0.7686197824503417,0.0004350981516743069,-0.005308510389913368,0.05313464622458408
10,0.040174571035688035,0.6691508821964812,-0.05589931181632091,-0.009607364425363168,0.0019368871992386794
15,0.045080946201106316,0.5085385816011014,0.014402056762174986,-0.0020453104017867374,0.039622839717590175
20,0.04783350587973738,0.38416999939790986,0.015360859549340411,-0.0016236545844275363,0.01589682824265637
30,0.04748204993684341,0.24063801234956905,0.04748204993743066,0,0
