T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.035040386234362196,0.9912781612916088,0.10448412049284157,0.2776025841326919,-10.291874928049229
0.5,0.03678970517590247,0.9817733000864722,0.03818017130778617,0.002770586776820738,-1.053606033710186
1,0.03404253205381913,0.9665303952404911,0.22803613728434452,0.1938855742491287,-4.000609040523407
2,0.03439786380074631,0.9335173524316189,0.12938761600911342,0.04746545672075497,-1.30568482492599
3,0.03437310607090773,0.9020193397248527,0.1202080623195767,0.028597857538930488,-0.042187235656243605
5,0.03580284401888022,0.8360940099767513,0.022972012133221087,-0.0025651605805449007,-0.024988834196326692
7,0.037568345016280265,0.768758490696489,0.02874550897508099,-0.0012604634102228451,0.043496917151442105
10,0.04025926050475791,0.6685844217670945,0.010263520779374424,-0.0029994903429746145,-0.02992508538884886
15,0.04508692561428403,0.5084929722120693,0.05557931239907887,0.0006994740541881039,0.0022824191217574175
20,0.04777438541366062,0.3846245142445934,0.05237477354369524,0.00022996940529998455,0.0009321872926348895
30,0.04738073651199358,0.2413705208151881,0.032760639334661334,-0.000487294714263814,-2.8568265808548432E-05
