T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.019357335608927835,0.995172356808057,0.019357335608611442,0,0
0.5,0.024900404166738395,0.9876269810353909,0.025657670223045576,0.0015145321131948553,0
1,0.018062082567094864,0.9821000591728168,-0.02587239342651676,-0.04393447599382143,3.469446951953614E-12
2,0.022425797205430247,0.956139367730677,0.01374114416734934,-0.004342326519062717,-6.938893903907228E-12
3,0.023473910125680817,0.9320006840132282,0.00149488311201873,-0.0073263423380539455,3.469446951953614E-12
5,0.026701680046622926,0.8750201185737682,0.006304191048911445,-0.00407949779956257,0
7,0.030281184476535293,0.8089903491631742,-0.03290223522633973,-0.009026202814675297,-3.469446951953614E-12
10,0.034896961085336374,0.7054145668909451,0.017005662320823678,-0.0017891298765143615,0
15,0.03840586602208017,0.5620929842729601,0.04357687365896812,0.00034473384252081685,1.3877787807814457E-11
20,0.042328955666108094,0.4288795737538322,0.04444827670535556,0.00010596605194354569,6.938893903907228E-12
30,0.046693746260651786,0.24639671292351878,0.07776364085554377,0.001035663153146904,-1.3877787807814457E-11
