T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.019357335608927835,0.995172356808057,0.019357335608611442,0,0
0.5,0.01989751741521932,0.9901005664819745,0.022794982979029363,0.005794831336105796,0.04288473745908683
1,0.017956957075375597,0.9822033083514202,0.01205327019268218,-0.005903289657759395,0.2460096835722736
2,0.021727744501950103,0.9574751713161084,0.024608188280220156,0.0014402185045218896,0.003734840783864435
3,0.023445141817790567,0.932081123732245,0.026601982752866293,0.0010523033339183974,0.011157559390295724
5,0.026663022934447358,0.8751892636742923,0.041403191905348136,0.002948037048904756,0.009961729260932195
7,0.030280644876454692,0.8089934048877486,-0.008539095645992978,-0.005544880377445979,0.011956437496324357
10,0.034918677778252215,0.7052613908086615,0.034672484043318796,-2.4613160138492463E-05,0.0007095000767454174
15,0.03901758526947707,0.5569589283414026,0.06960966785152234,0.0020394714733522334,-0.0001099248678193554
20,0.042297308667698645,0.42915111470309547,0.06127441497805197,0.0009488555522858821,-0.001960423261226918
30,0.04605422490015835,0.25116963109857254,0.08429908259444119,0.0012748273693526102,0.0026648907455739668
