T,Zero,DF,FwdInst,Slope,Convexity
0.25,0.019357335608927835,0.995172356808057,0.019357335608611442,0,0
0.5,0.019892387364248625,0.9901031061184177,0.020905554855609257,0.0020263203604174718,0.00857668730480654
1,0.01794368960721559,0.9822163397889874,0.01650944880008179,-0.001433209678568248,0.5149206348808999
2,0.021744254633930128,0.9574435557551964,0.024774817831835216,0.0015152811051952209,0.0011523177481653768
3,0.023443156030903505,0.9320866764922044,0.027588438195891296,0.00138180663588304,0.022921907202183567
5,0.02666674645727334,0.8751729698899667,0.038046015371634434,0.0022758570782394766,0.007273848749017597
7,0.030239646192554946,0.8092256118609736,0.024102834526584793,-0.000876228602330123,0.09523589599921833
10,0.034914249942877174,0.7052926193133785,0.04004182978745163,0.0005127623548123461,0.0010667953603826774
15,0.039005962462673315,0.5570560381966508,0.07182696813656797,0.0021880656608762317,-8.626576536441277E-05
20,0.04182933740396187,0.43318657784212955,0.04915333561006374,0.0003661999927219439,-0.0005663008742495812
30,0.046314236412166025,0.2492180426593352,0.08838264998201062,0.001402278886206837,0.000619927338629811
